Aperture,EVM_percent,SNDR_dB,Correlation,DecimationPhase,BasebandLag,EqualizedSymbols,InputSamples,SampleRate_Hz,OSR,Recovery,RecoveryScore,RecoveryPhase,RecoveryQSign,RecoveryQShift,Measurement,ModelBasis
native_lp2_iq,0.689097,43.234396,0.996114,0,0,19,65536,100000000,32,full-rate low-pass reconstruction,nan,n/a,n/a,n/a,CP-removed 64-point OFDM FFT; one complex equalizer per active subcarrier,Python port of dsm_core_dsm2 registered output; no fresh XSim capture
fixed_fs4_sparse_fullrate,94.361301,0.504122,0.726869,0,0,19,65536,100000000,32,ideal IF BPF plus sparse full-rate recovery,nan,n/a,n/a,n/a,CP-removed 64-point OFDM FFT; one complex equalizer per active subcarrier,Python port of dsm_core_dsm2 registered output; no fresh XSim capture
fixed_fs4_halfrate_demux,93.906155,0.546119,0.729479,0,0,19,65536,50000000,16,MATLAB-compatible half-rate demux and Q half-sample advance,0.256556,0,1,-1,CP-removed 64-point OFDM FFT; one complex equalizer per active subcarrier,Python port of dsm_core_dsm2 registered output; no fresh XSim capture
