Part,Flow,Top,Algorithm,AlgorithmName,InterpMode,InterpName,DucMode,Status,LUT,FF,DSP,WNS_ns,Fmax_est_MHz
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg6_interp1,6,MASH22_native,1,x4_halfband,0,PASS,4009,4051,540,5.546,224.52
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg6_interp2,6,MASH22_native,2,x8_halfband,0,PASS,5761,5869,774,5.546,224.52
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg6_interp3,6,MASH22_native,3,x16_halfband,0,PASS,7517,7687,1008,5.546,224.52
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg6_interp4,6,MASH22_native,4,x32_hb_cic_equiv_comp_fir,0,PASS,7970,8234,1350,5.546,224.52
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg7_interp0,7,LPDSM_multibit,0,bypass,0,PASS,718,332,0,6.945,327.33
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg7_interp1,7,LPDSM_multibit,1,x4_halfband,0,PASS,4234,3964,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg7_interp2,7,LPDSM_multibit,2,x8_halfband,0,PASS,5981,5782,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg7_interp3,7,LPDSM_multibit,3,x16_halfband,0,PASS,7737,7600,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg7_interp4,7,LPDSM_multibit,4,x32_hb_cic_equiv_comp_fir,0,PASS,8190,8147,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg8_interp0,8,LPDSM2_multibit,0,bypass,0,PASS,832,364,0,6.067,254.26
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg8_interp1,8,LPDSM2_multibit,1,x4_halfband,0,PASS,4342,3996,468,6.067,254.26
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg8_interp2,8,LPDSM2_multibit,2,x8_halfband,0,PASS,6096,5814,702,6.067,254.26
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg8_interp3,8,LPDSM2_multibit,3,x16_halfband,0,PASS,7851,7632,936,6.067,254.26
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg8_interp4,8,LPDSM2_multibit,4,x32_hb_cic_equiv_comp_fir,0,PASS,8304,8179,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg9_interp0,9,EFDSM_multibit,0,bypass,0,PASS,718,332,0,7.026,336.25
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg9_interp1,9,EFDSM_multibit,1,x4_halfband,0,PASS,4232,3964,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg9_interp2,9,EFDSM_multibit,2,x8_halfband,0,PASS,5982,5782,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg9_interp3,9,EFDSM_multibit,3,x16_halfband,0,PASS,7737,7600,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg9_interp4,9,EFDSM_multibit,4,x32_hb_cic_equiv_comp_fir,0,PASS,8190,8147,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg10_interp0,10,EFDSM2_multibit,0,bypass,0,PASS,828,364,0,6.043,252.72
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg10_interp1,10,EFDSM2_multibit,1,x4_halfband,0,PASS,4339,3996,468,6.043,252.72
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg10_interp2,10,EFDSM2_multibit,2,x8_halfband,0,PASS,6091,5814,702,6.043,252.72
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg10_interp3,10,EFDSM2_multibit,3,x16_halfband,0,PASS,7847,7632,936,6.043,252.72
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg10_interp4,10,EFDSM2_multibit,4,x32_hb_cic_equiv_comp_fir,0,PASS,8300,8179,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg11_interp0,11,MASH11_multibit,0,bypass,0,PASS,1199,389,0,6.760,308.64
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg11_interp1,11,MASH11_multibit,1,x4_halfband,0,PASS,4715,4021,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg11_interp2,11,MASH11_multibit,2,x8_halfband,0,PASS,6462,5839,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg11_interp3,11,MASH11_multibit,3,x16_halfband,0,PASS,8220,7657,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg11_interp4,11,MASH11_multibit,4,x32_hb_cic_equiv_comp_fir,0,PASS,8673,8204,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg12_interp0,12,MASH111_multibit,0,bypass,0,PASS,1706,453,0,6.320,271.74
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg12_interp1,12,MASH111_multibit,1,x4_halfband,0,PASS,5217,4085,468,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg12_interp2,12,MASH111_multibit,2,x8_halfband,0,PASS,6969,5903,702,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg12_interp3,12,MASH111_multibit,3,x16_halfband,0,PASS,8732,7721,936,6.096,256.15
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg12_interp4,12,MASH111_multibit,4,x32_hb_cic_equiv_comp_fir,0,PASS,9183,8268,1278,5.847,240.79
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg13_interp0,13,MASH22_multibit,0,bypass,0,PASS,1438,461,0,5.720,233.64
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg13_interp1,13,MASH22_multibit,1,x4_halfband,0,PASS,4953,4093,468,5.720,233.64
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg13_interp2,13,MASH22_multibit,2,x8_halfband,0,PASS,6701,5911,702,5.720,233.64
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg13_interp3,13,MASH22_multibit,3,x16_halfband,0,PASS,8462,7729,936,5.742,234.85
xczu15eg-ffvb1156-1-i,post_synth_ooc,dsm_ip_axi_alg13_interp4,13,MASH22_multibit,4,x32_hb_cic_equiv_comp_fir,0,PASS,8913,8276,1278,5.742,234.85
