Design,MatlabDomain,RTLDomain,Matlab_EVM_percent,RTL_EVM_percent,AbsDelta_EVM_percent,Matlab_SNDR_dB,RTL_SNDR_dB,AbsDelta_SNDR_dB
DSM,bb_sign1bit,bb_sign1bit,4.87358297967619,4.87358297967619,0,26.2430327011129,26.2430327011129,0
EFDSM,bb_sign1bit,bb_sign1bit,1.54623510026355,1.54623510026355,0,36.2144894452936,36.2144894452936,0
DSM2,bb_sign1bit,bb_sign1bit,4.704790908016,4.704790908016,0,26.5491934575408,26.5491934575408,0
EFDSM2,bb_sign1bit,bb_sign1bit,0.232314434059943,0.232314434059943,0,52.678476119291,52.678476119291,0
MASH11,bb_multibit_yout,bb_multibit_yout,0.154685365447165,4.68624011542919,4.53155474998202,56.2110154462691,26.5835092523215,29.6275061939476
