Profile,Design,MetricDomain,NativeScale,N_bits,N_rec,EVM_percent,SNDR_dB,ACLR_L_dBc,ACLR_R_dBc,ACLR_avg_dBc
p1_256,LPDSM,bb_sign1bit,1,65535,1975,3.94441671101488,28.0803441984789,-23.3448193634464,-22.6546391129002,-22.9997292381733
p1_256,LPDSM2,bb_sign1bit,1,65535,1975,3.76241500359169,28.490666047965,-24.7075153798474,-23.8835790367539,-24.2955472083007
p1_256,EFDSM,bb_sign1bit,1,65535,1975,1.31119376611556,37.646662484481,-23.294912953129,-22.6854190262361,-22.9901659896826
p1_256,EFDSM2,bb_sign1bit,1,65535,1975,0.158085073780879,56.0221826748055,-24.7064482702601,-23.8925095147364,-24.2994788924982
p1_256,MASH11,bb_multibit_yout,3,65535,1975,3.7510299328595,28.5169894041418,-24.7609442546506,-23.9443865874185,-24.3526654210346
p1_256,MASH111,bb_multibit_yout,7,65535,1975,3.75497181693942,28.5078663651729,-24.8368034830864,-23.9988958497054,-24.4178496663959
p1_256,MASH22,bb_multibit_yout,5,65535,1975,3.75718031895086,28.5027592254499,-24.77524803424,-23.9441270078148,-24.3596875210274
